SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|5|2023-02-01 13:09:58.001|TAG|-0.996|0.015|-0.054|A|5|0
stairs|5|2023-02-01 13:09:58.008|TAG|-0.968|-0.007|-0.062|A|5|0
stairs|5|2023-02-01 13:09:58.016|TAG|-0.953|-0.011|-0.082|A|5|0
stairs|5|2023-02-01 13:09:58.024|TAG|-0.906|-0.054|-0.093|A|5|0
stairs|5|2023-02-01 13:09:58.032|TAG|-0.832|-0.05|-0.07|A|5|0
stairs|5|2023-02-01 13:09:58.039|TAG|-0.695|-0.035|-0.031|A|5|0
stairs|5|2023-02-01 13:09:58.047|TAG|-0.644|-0.023|0|A|5|0
stairs|5|2023-02-01 13:09:58.055|TAG|-0.605|-0.007|0.046|A|5|0
stairs|5|2023-02-01 13:09:58.063|TAG|-0.632|0.015|0.062|A|5|0
stairs|5|2023-02-01 13:09:58.071|TAG|-0.691|0|0.07|A|5|0
stairs|5|2023-02-01 13:09:58.079|TAG|-0.75|0.011|0.05|A|5|0
stairs|5|2023-02-01 13:09:58.086|TAG|-0.773|-0.007|0.019|A|5|0
stairs|5|2023-02-01 13:09:58.094|TAG|-0.773|-0.058|-0.019|A|5|0
stairs|5|2023-02-01 13:09:58.102|TAG|-0.804|-0.085|-0.046|A|5|0
stairs|5|2023-02-01 13:09:58.110|TAG|-0.789|-0.125|-0.058|A|5|0
stairs|5|2023-02-01 13:09:58.118|TAG|-0.796|-0.101|-0.035|A|5|0
stairs|5|2023-02-01 13:09:58.126|TAG|-0.785|-0.105|-0.023|A|5|0
stairs|5|2023-02-01 13:09:58.133|TAG|-0.82|-0.046|-0.007|A|5|0
stairs|5|2023-02-01 13:09:58.141|TAG|-0.812|0|0.027|A|5|0
stairs|5|2023-02-01 13:09:58.149|TAG|-0.828|0.05|0.039|A|5|0
stairs|5|2023-02-01 13:09:58.157|TAG|-0.835|0.07|0.027|A|5|0
stairs|5|2023-02-01 13:09:58.165|TAG|-0.816|0.062|0.05|A|5|0
stairs|5|2023-02-01 13:09:58.172|TAG|-0.761|0.046|0.074|A|5|0
stairs|5|2023-02-01 13:09:58.180|TAG|-0.73|0.011|0.003|A|5|0
stairs|5|2023-02-01 13:09:58.188|TAG|-0.75|-0.035|-0.078|A|5|0
stairs|5|2023-02-01 13:09:58.196|TAG|-0.726|-0.074|-0.179|A|5|0
stairs|5|2023-02-01 13:09:58.204|TAG|-0.753|-0.089|-0.218|A|5|0
stairs|5|2023-02-01 13:09:58.212|TAG|-0.832|-0.074|-0.125|A|5|0
stairs|5|2023-02-01 13:09:58.219|TAG|-0.863|-0.078|-0.039|A|5|0
stairs|5|2023-02-01 13:09:58.227|TAG|-0.925|-0.167|-0.082|A|5|0
stairs|5|2023-02-01 13:09:58.235|TAG|-0.925|-0.238|-0.152|A|5|0
stairs|5|2023-02-01 13:09:58.243|TAG|-0.91|-0.21|-0.292|A|5|0
stairs|5|2023-02-01 13:09:58.251|TAG|-0.933|-0.238|-0.292|A|5|0
stairs|5|2023-02-01 13:09:58.258|TAG|-1|-0.183|-0.265|A|5|0
stairs|5|2023-02-01 13:09:58.266|TAG|-1.05|-0.195|-0.246|A|5|0
stairs|5|2023-02-01 13:09:58.274|TAG|-1.218|-0.253|-0.382|A|5|0
stairs|5|2023-02-01 13:09:58.282|TAG|-1.39|-0.292|-0.433|A|5|0
stairs|5|2023-02-01 13:09:58.290|TAG|-1.523|-0.316|-0.449|A|5|0
stairs|5|2023-02-01 13:09:58.298|TAG|-1.675|-0.324|-0.433|A|5|0
